county,date,rooms,rooms_occupied,trailers_requested,trailers_delivered,donated_trailers_delivered,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
'San Bernardino',2020-04-18,50,37,20,0,20,?,?,?,?,?,?,?,?
'San Diego',2020-04-18,2029,409,45,45,0,?,?,?,?,?,?,?,?
'San Francisco',2020-04-18,1271,710,0,0,0,?,?,?,?,?,?,?,?
'San Joaquin',2020-04-18,0,0,0,0,0,?,?,?,?,?,?,?,?
'San Luis Obispo',2020-04-18,154,4,14,14,0,?,?,?,?,?,?,?,?
'San Mateo',2020-04-18,94,94,0,0,0,?,?,?,?,?,?,?,?
'Santa Barbara',2020-04-18,76,0,0,0,0,?,?,?,?,?,?,?,?
'Santa Clara',2020-04-18,453,234,105,105,0,?,?,?,?,?,?,?,?
'Santa Cruz',2020-04-18,27,19,35,0,0,?,?,?,?,?,?,?,?
Shasta,2020-04-18,20,0,0,0,0,?,?,?,?,?,?,?,?
Sierra,2020-04-18,0,0,0,0,0,?,?,?,?,?,?,?,?
Siskiyou,2020-04-18,0,0,6,6,0,?,?,?,?,?,?,?,?
Solano,2020-04-18,0,0,0,0,0,?,?,?,?,?,?,?,?
Sonoma,2020-04-18,45,45,0,0,0,?,?,?,?,?,?,?,?
Stanislaus,2020-04-18,121,1,0,0,0,?,?,?,?,?,?,?,?
Sutter,2020-04-18,16,16,0,0,0,?,?,?,?,?,?,?,?
Tehama,2020-04-18,0,0,5,5,0,?,?,?,?,?,?,?,?
Trinity,2020-04-18,10,0,0,0,0,?,?,?,?,?,?,?,?
Tulare,2020-04-18,56,0,0,0,0,?,?,?,?,?,?,?,?
Tuolumne,2020-04-18,0,0,0,0,0,?,?,?,?,?,?,?,?
Ventura,2020-04-18,398,275,0,0,0,?,?,?,?,?,?,?,?
Yolo,2020-04-18,246,206,0,0,0,?,?,?,?,?,?,?,?
Yuba,2020-04-18,35,18,0,0,0,?,?,?,?,?,?,?,?
Alameda,2020-04-19,403,328,91,85,0,?,?,?,?,?,?,?,?
Alpine,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Amador,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Butte,2020-04-19,94,94,0,0,0,?,?,?,?,?,?,?,?
Calaveras,2020-04-19,20,20,0,0,0,?,?,?,?,?,?,?,?
Colusa,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'Contra Costa',2020-04-19,340,3,0,0,0,?,?,?,?,?,?,?,?
'Del Norte',2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
'El Dorado',2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Fresno,2020-04-19,305,250,28,28,0,?,?,?,?,?,?,?,?
Glenn,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Humboldt,2020-04-19,44,11,15,0,0,?,?,?,?,?,?,?,?
Imperial,2020-04-19,36,0,0,0,0,?,?,?,?,?,?,?,?
Inyo,2020-04-19,10,1,0,0,0,?,?,?,?,?,?,?,?
Kern,2020-04-19,2,2,15,15,0,?,?,?,?,?,?,?,?
Kings,2020-04-19,0,0,0,0,0,?,?,?,?,?,?,?,?
Lake,2020-04-19,10,10,0,0,0,?,?,?,?,?,?,?,?
Lassen,2020-04-19,1,1,0,0,0,?,?,?,?,?,?,?,?
